"","FIPSCode","X","CountyNumber","DemVotes","RepVotes","IsDem","year","lessthanhighschool","atleasthighschooldiploma","atleastbachelorsdegree","graduatedegree","schoolenrollment","medianearnings2010dollars","educationindex","incomeindex","whitenotlatinopopulation","africanamericanpopulation","nativeamericanpopulation","asianamericanpopulation","populationsomeotherraceorraces","latinopopulation","childrenunder6livinginpoverty","adults65andolderlivinginpoverty","Xtotalpopulation","preschoolenrollmentratioenrolledages3and4","povertyratebelowfederalpovertythreshold","ginicoefficient","childpovertylivinginfamiliesbelowthepovertyline","managementprofessionalandrelatedoccupations","serviceoccupations","salesandofficeoccupations","farmingfishingandforestryoccupations","constructionextractionmaintenanceandrepairoccupations","productiontransportationandmaterialmovingoccupations"
"51",1101,52,1052,62993,38283,1,2010,15.3,84.7,30.5,12.3,76.1,26184,4.98,4.09,38.4,54.5,0.2,2.1,1.2,3.6,35.1,11.2,229363,46.4,18.9,0.473,29.2,35.4,17.6,26.3,0.3,6.9,13.5
"52",1103,53,1053,13401,35309,0,2010,19.2,80.8,19.1,6,74.7,24901,3.88,3.74,77.5,11.8,0.8,0.6,1.8,7.7,27.2,12,119490,41.2,15,0.439,21.9,28.7,14.9,24.7,0.4,10.7,20.6
"53",1105,54,1054,4536,1504,1,2010,28.5,71.5,13.3,4.9,76.3,16487,3.32,0.88,29.7,68.4,0.2,0.3,0.4,1.1,30.9,14.1,10591,67.4,28.8,0.47,42.6,23.7,26.4,21,2.3,6,20.6
"54",1107,55,1055,4448,5119,0,2010,21.3,78.7,11.5,3.4,75.8,23862,3.44,3.44,55.8,41.4,0.1,0.2,0.9,1.6,36.1,21.6,19746,50.7,26.9,0.453,36.9,20.9,14.4,27.5,1,11.1,25.1
"55",1109,56,1056,6009,7939,0,2010,20.6,79.4,23.7,9.3,83.9,18858,5.04,1.81,57.4,36.4,0.6,2,1.4,2.2,45.6,16.9,32899,43.3,28.6,0.514,35.8,26.5,21.5,23.9,1.2,10,17
"56",1111,57,1057,3076,7219,0,2010,28.4,71.6,12.2,4.8,74.8,22185,3.12,2.94,75.4,20.1,0.4,0.2,1.1,2.8,36.5,12.8,22913,49.5,21.5,0.489,28,22.5,13.6,21.6,1.8,10.6,30
"57",1113,58,1058,10495,8276,1,2010,23.1,76.9,11.9,3.4,70.9,22234,2.91,2.95,52.1,41.4,0.4,0.4,2,3.7,37.6,16.6,52947,36.1,23.3,0.429,35.1,21,20.8,29.2,1,11.2,16.8
"58",1115,59,1059,5790,29001,0,2010,20.7,79.3,14.5,4.7,73.1,30076,3.4,5.05,87.3,8.5,0.3,0.6,1.3,2.1,12.5,9.5,83593,39.4,10.6,0.415,13.2,28.5,14.5,26.1,0.4,12.6,18
"59",1117,60,1061,19944,71243,0,2010,8.5,91.5,39.6,12.2,81.4,37122,6.18,6.51,80.2,10.6,0.2,1.9,1.2,5.9,10.8,4.9,195085,57,7.4,0.434,10.3,42.5,12,29.2,0.1,9.1,7.2
"60",1119,61,1062,5420,1585,1,2010,24.6,75.4,12.8,5.3,81.8,17459,4.01,1.28,24,74.7,0.1,0.2,0.3,0.6,53.6,28.8,13763,78.8,34.8,0.512,50.9,21.5,19.7,24.1,2.2,5.5,27
"61",1121,62,1063,13878,19217,0,2010,24.3,75.7,11.9,4.5,75.5,23684,3.35,3.39,64.5,31.5,0.3,0.4,1.3,2,24.4,15.7,82291,45.8,18.4,0.44,27.1,24.1,17.2,22.4,0.5,11,24.8
"62",1123,63,1064,6252,12303,0,2010,23.9,76.1,15.7,5.6,75,23784,3.54,3.42,69.3,26.6,0.3,0.5,0.9,2.5,27.3,9.1,41616,51.5,17.5,0.497,27.8,27.2,16.8,21.3,0.5,13.7,20.5
"63",1125,64,1065,32003,45703,0,2010,15.3,84.7,26.2,10.5,75.8,23767,4.67,3.42,65,29.5,0.2,1.2,1,3.1,23.6,10.1,194656,45.9,19.7,0.488,22.4,32.2,16.6,24.5,0.3,11.4,15
"64",1127,65,1066,6551,21633,0,2010,24.5,75.5,9.7,4.2,73.1,23939,3,3.47,90.4,5.8,0.3,0.3,1.2,2,31.5,12.4,67023,32.4,18.6,0.457,27.5,24.2,16.4,24,0.5,17.7,17.2
"65",1129,66,1067,2971,5749,0,2010,22,78,9.3,2.8,74.2,28614,3.14,4.7,65.2,24.8,7.9,0.1,1.2,0.9,29.9,12.7,17581,9,19.7,0.45,28.6,20.7,9.5,19.8,1.6,17.8,30.6
"66",1131,67,1068,4867,1676,1,2010,31.5,68.5,13.2,2.4,71.6,18579,2.63,1.71,26.6,72.2,0.1,0,0.4,0.6,61,20.7,11670,46.6,38.5,0.501,51.2,22.6,16.4,27.3,4.2,8.3,21.2
"67",1133,68,1069,1286,8310,0,2010,30.7,69.3,11.1,5.6,72.4,20413,2.78,2.36,94.9,0.5,0.6,0.2,1.2,2.6,42.5,14.4,24484,24.1,20.6,0.452,31.4,24.9,12.2,19.7,1,9,33.1
"68",4001,144,3001,16833,8198,1,2010,27.9,72.1,10.3,3.5,74,22541,2.93,3.05,20.4,0.2,71.8,0.3,1.6,5.8,47.9,29.2,71518,33.5,34.4,0.488,41.8,32,23.8,17.7,0.8,15,10.7
"69",4003,145,3002,16223,26742,0,2010,15.2,84.8,21.4,7.8,70.1,26039,3.81,4.05,58.5,3.8,0.8,1.8,2.8,32.4,25.5,10.7,131346,34.2,15.7,0.435,23.2,35.9,20.5,24.7,1.2,10,7.6
"70",4005,146,3003,26316,19368,1,2010,13,87,31.1,12.8,77.3,22473,5.24,3.03,55.2,1.1,26.5,1.3,2.3,13.5,22.9,13.8,134421,46.4,18.6,0.443,22.5,32.9,21.4,24.5,0.3,9.9,10.9
"71",4007,147,3004,6650,11525,0,2010,16.6,83.4,15,6.3,70.6,25714,3.44,3.96,65.9,0.4,14.2,0.5,1.2,17.9,33,10,53597,27,18.9,0.433,27.4,26.3,25.4,22.8,0.6,14.9,10
"72",4009,148,3005,3608,8076,0,2010,18.2,81.8,13.4,5.2,70.8,21863,3.28,2.84,52.3,1.7,13.6,0.5,1.4,30.4,30.5,9.7,37220,25.8,20,0.409,26.3,25.7,19.9,23.7,1.3,17.5,11.9
"73",4011,149,3006,1310,1590,0,2010,10.2,89.8,13.4,3.2,75.4,35068,3.97,6.11,48.1,0.9,1.7,0.5,0.9,47.9,10.3,13.2,8437,46.2,13.5,0.365,17.8,29.7,16.2,14.7,1.5,28.4,9.4
"74",4012,150,3007,1619,3205,0,2010,23.1,76.9,9,3.3,71.1,21633,2.8,2.76,62.7,0.6,10.7,0.4,2.1,23.5,42.8,6.5,20489,54.1,20.3,0.437,36.4,24.3,26,23.6,7,12.3,6.8
"75",4013,151,3008,512008,654835,0,2010,14.4,85.6,29,10.3,73.5,31766,4.62,5.43,58.7,4.6,1.6,3.4,2.2,29.6,22.7,7,3817117,34.2,13.9,0.452,19.8,35.9,16.8,27.8,0.2,9.9,9.4
"76",4015,152,3009,18324,46442,0,2010,17,83,12,4,70.9,22472,3.21,3.03,79.6,0.9,1.9,1,1.9,14.8,27.9,7,200186,41.4,16.1,0.433,24.7,24.2,23.4,28.7,0.2,11.4,12.1
"77",4017,153,3010,16157,19155,0,2010,19.5,80.5,14.4,5.5,74.1,22524,3.58,3.04,43.9,0.8,42.4,0.5,1.6,10.8,38.1,12.4,107449,40.3,24.4,0.441,32.6,29,21.6,22.7,1,14.6,11.2
"78",4019,154,3011,183470,162927,1,2010,13.2,86.8,29.6,12,75.3,26057,4.95,4.05,55.3,3.2,2.4,2.5,2.1,34.6,25.8,8.5,980263,34.2,16.4,0.458,22.6,35.9,19.9,25.9,0.2,9.9,8.2
"79",4021,155,3012,41428,58947,0,2010,16.3,83.7,17.9,5.9,69.4,31035,3.45,5.27,58.7,4.3,4.6,1.6,2.3,28.5,20.2,7.6,375770,27.8,13.5,0.396,18.3,31.2,17.8,26,1.5,11.9,11.5
"80",4023,156,3013,9486,4235,1,2010,29.1,70.9,17.3,5.8,81.1,20592,3.97,2.42,16,0.2,0.2,0.5,0.3,82.8,36.3,15.7,47420,17.4,25.2,0.474,36.8,24.6,18.2,35.3,0.9,8.1,13
"81",4025,157,3014,32624,62385,0,2010,10.6,89.4,23.7,9.1,72.4,24592,4.39,3.65,82,0.5,1.3,0.8,1.8,13.6,25.3,6.1,211033,30.8,13.7,0.453,20.1,30.5,20.8,27.2,0.6,11.7,9.2
"82",4027,158,3015,14025,19500,0,2010,28.4,71.6,13.3,4.6,70.6,21833,2.76,2.83,35.3,1.6,1,1,1.4,59.7,31.1,12.7,195751,34.9,20.9,0.423,30.7,24.9,21.9,23.6,6.3,12.2,11.1
"83",5001,69,4001,2454,3892,0,2010,20.6,79.4,14.3,5.1,72.8,22734,3.38,3.11,71,24.4,0.2,0.5,1.3,2.7,29.7,16.7,19019,39.3,18.9,0.467,21.5,28.3,15.4,23.3,4.5,8.5,20
"84",5003,70,4002,2855,4866,0,2010,18.9,81.1,13.7,3.4,77.5,23673,3.8,3.39,68.2,25.7,0.2,0.2,0.8,4.9,28.9,12.5,21853,53.9,18.5,0.447,25.9,25,15,22.6,2.7,10.7,24
"85",5005,71,4003,5172,13688,0,2010,16.3,83.7,14.5,4.7,77.5,20617,4.02,2.43,96,0.1,0.5,0.4,1.3,1.7,31.2,8.5,41513,52.6,15.5,0.42,29.2,28.7,18.7,25.4,0.7,10.3,16.1
"86",5007,72,4004,22144,53477,0,2010,15.8,84.2,25.9,7.8,72.9,28561,4.24,4.69,76.6,1.2,1.6,2.8,2.3,15.5,18.1,7.3,221339,39,11.7,0.438,16.3,33.9,13.8,26.4,0.5,9.8,15.5
"87",5009,73,4005,3762,11143,0,2010,16.2,83.8,14.5,4.7,73.5,23244,3.65,3.26,95.2,0.2,0.7,0.4,1.7,1.8,22.2,12.8,36903,44.1,16,0.451,21.8,25.3,16.4,30.3,0.9,10.8,16.3
"88",5011,74,4006,1447,2118,0,2010,30.6,69.4,12.7,3.6,78.6,22051,3.36,2.9,58,27.5,0.1,0.2,0.9,13.2,51.4,18.8,11508,59.3,30.4,0.478,40.4,27.7,12.6,18.2,6,8.4,27.1
